Kategori Pengukuran,Indikator,Alat Ukur Utama,Alasan Medis / Klinis
Oksigen Darah,Saturasi Oksigen (SpO2),Yuwell yx106 (Oximeter),Mengukur kadar oksigen yang diikat oleh hemoglobin untuk mendeteksi dini kondisi hipoksia atau gangguan fungsi paru-paru.
Denyut Jantung,Heart Rate (Pulse),Yuwell yx106 (Oximeter),Memantau ritme dan kecepatan detak jantung per menit guna mendeteksi gangguan irama jantung (aritmia) seperti bradikardia atau takikardia.
Tekanan Darah,Tekanan Sistolik,OMRON BT 7194 TFL,Mengukur tekanan darah saat otot jantung berkontraksi memompa darah. Parameter utama penentu hipertensi dan risiko stroke/serangan jantung.
Tekanan Darah,Tekanan Diastolik,OMRON BT 7194 TFL,Mengukur tekanan darah saat otot jantung beristirahat di antara detakan. Penting untuk menilai resistensi pembuluh darah perifer.
Metabolisme Glukosa,Gula Darah Puasa (GDP),Sinocare M101 (GCU 3-in-1),Skrining utama untuk mendeteksi penyakit Diabetes Melitus dan menilai kemampuan tubuh dalam menjaga homeostasis glukosa basal.
Metabolisme Glukosa,Gula Darah 2 Jam PP (GD2PP),Sinocare M101 (GCU 3-in-1),Menilai efisiensi tubuh (terutama insulin) dalam merespons lonjakan glukosa setelah makan guna mendeteksi resistensi insulin dini.
Profil Lipid,Kolesterol Total,Sinocare M101 (GCU 3-in-1),Mengevaluasi kadar lemak total dalam darah untuk memetakan risiko penumpukan plak pada dinding arteri (aterosklerosis) dan penyakit jantung koroner.
Metabolisme Purin,Asam Urat (Uric Acid),Sinocare M101 (GCU 3-in-1),Mendeteksi kondisi hiperurisemia yang memicu penumpukan kristal di sendi (Gout Arthritis) maupun pembentukan batu ginjal.
Komposisi Tubuh,Berat Badan,Timbangan Badan,Komponen utama untuk melacak perubahan massa tubuh harian/mingguan serta digunakan bersama tinggi badan dalam penghitungan indeks massa tubuh.
Komposisi Tubuh,Tinggi Badan,Input Manual (Awal Login),Data antropometri dasar yang bersifat statis/semi-statis yang mutlak diperlukan untuk menghitung parameter Body Mass Index (BMI).
Komposisi Tubuh,Lingkar Perut,Pita Ukur / Manual,Indikator spesifik untuk mengukur obesitas sentral (lemak viseral). Lemak di area perut ini jauh lebih berbahaya bagi jantung dibanding lemak subkutan biasa.
Tanda Vital Dasar,Suhu Tubuh,Termometer,Metrik dasar untuk mendeteksi adanya respons inflamasi sistemik infeksi bakteri/virus atau gangguan regulasi suhu tubuh (termoregulasi).
Kualitas Hidup,Durasi Tidur,Input Manual / Tracker,Durasi tidur yang kurang (<6 jam) memicu stres oksidatif dan lonjakan hormon kortisol yang secara klinis menaikkan tekanan darah dan resistensi insulin.