Kategori_Pengukuran,Indikator,Alat_Ukur,Jenis_Kelamin,Batas_Bawah,Batas_Atas,Satuan,Status,Saran_Notifikasi_Popup,,
Oksigen,SpO2,Yuwell yx106,All,95,100,%,Normal,Saturasi oksigen bagus. Pertahankan pola pernapasan dan aktivitas fisik.,,
Oksigen,SpO2,Yuwell yx106,All,90,94.9,%,Hipoksemia Ringan,Saturasi agak rendah. Coba istirahat dan tarik napas dalam. Jika terasa sesak,hubungi dokter.,
Oksigen,SpO2,Yuwell yx106,All,0,89.9,%,Hipoksemia Berat,Bahaya. Segera cari pertolongan medis darurat ke IGD.,,
Detak Jantung,Heart Rate,Yuwell yx106,All,60,100,bpm,Normal,Detak jantung stabil dan normal.,,
Detak Jantung,Heart Rate,Yuwell yx106,All,0,59.9,bpm,Bradikardia,Detak jantung lambat. Jika disertai pusing atau lemas,segera konsultasi ke dokter.,
Detak Jantung,Heart Rate,Yuwell yx106,All,100.1,250,bpm,Takikardia,Detak jantung cepat. Coba duduk santai dan tenangkan diri. Jika berlanjut,periksa ke dokter.,
Tekanan Darah,Sistolik,OMRON BT 7194,All,90,119.9,mmHg,Normal,Tekanan darah sistolik sangat baik.,,
Tekanan Darah,Sistolik,OMRON BT 7194,All,120,129.9,mmHg,Pra-Hipertensi,Mulai waspada. Batasi asupan garam/natrium dan mulai rutin berolahraga.,,
Tekanan Darah,Sistolik,OMRON BT 7194,All,130,139.9,mmHg,Hipertensi Tahap 1,Tekanan darah mulai tinggi. Ubah gaya hidup dan konsultasikan dengan dokter.,,
Tekanan Darah,Sistolik,OMRON BT 7194,All,140,300,mmHg,Hipertensi Tahap 2,Sangat tinggi! Segera konsultasikan dengan dokter untuk evaluasi medis.,,
Tekanan Darah,Diastolik,OMRON BT 7194,All,60,79.9,mmHg,Normal,Tekanan darah diastolik sangat baik.,,
Tekanan Darah,Diastolik,OMRON BT 7194,All,80,89.9,mmHg,Hipertensi Tahap 1,Tekanan darah mulai tinggi. Kurangi stres dan perbaiki pola makan.,,
Tekanan Darah,Diastolik,OMRON BT 7194,All,90,200,mmHg,Hipertensi Tahap 2,Sangat tinggi! Segera konsultasikan dengan dokter.,,
Gula Darah,Puasa (Fasting),Sinocare M101,All,70,99.9,mg/dL,Normal,Gula darah puasa terkontrol.,,
Gula Darah,Puasa (Fasting),Sinocare M101,All,100,125.9,mg/dL,Prediabetes,Hati-hati. Kurangi konsumsi gula harian dan karbohidrat sederhana.,,
Gula Darah,Puasa (Fasting),Sinocare M101,All,126,600,mg/dL,Diabetes,Indikasi diabetes. Segera buat janji dengan dokter untuk pemeriksaan lanjut.,,
Kolesterol,Total,Sinocare M101,All,0,199.9,mg/dL,Optimal,Kolesterol dalam batas aman. Pertahankan!,,
Kolesterol,Total,Sinocare M101,All,200,239.9,mg/dL,Batas Tinggi,Waspada. Kurangi makanan berlemak tinggi,santan,dan gorengan.
Kolesterol,Total,Sinocare M101,All,240,600,mg/dL,Tinggi,Risiko penyakit kardiovaskular meningkat. Konsultasikan dengan dokter.,,
Asam Urat,Uric Acid,Sinocare M101,Pria,3.4,7,mg/dL,Normal,Asam urat normal.,,
Asam Urat,Uric Acid,Sinocare M101,Pria,7.1,20,mg/dL,Tinggi (Hiperurisemia),Hindari makanan tinggi purin seperti jeroan,seafood,dan emping.
Asam Urat,Uric Acid,Sinocare M101,Wanita,2.4,6,mg/dL,Normal,Asam urat normal.,,
Asam Urat,Uric Acid,Sinocare M101,Wanita,6.1,20,mg/dL,Tinggi (Hiperurisemia),Hindari makanan tinggi purin seperti jeroan,seafood,dan emping.
Berat Badan,BMI (Body Mass Index),Timbangan,All,18.5,24.9,Index,Normal,Berat badan ideal. Proporsi tubuh terjaga!,,
Berat Badan,BMI (Body Mass Index),Timbangan,All,0,18.4,Index,Underweight,Berat badan kurang. Tingkatkan asupan kalori dan nutrisi seimbang.,,
Berat Badan,BMI (Body Mass Index),Timbangan,All,25,29.9,Index,Overweight,Berat badan berlebih. Mulai atur porsi makan dan tingkatkan kardio.,,
Berat Badan,BMI (Body Mass Index),Timbangan,All,30,100,Index,Obesitas,Risiko gangguan kesehatan. Sangat disarankan untuk program penurunan berat badan.,,